provider_id,first,middle,last,dept
2594131,Jessica,R.,Vittorelli,Baystate Emergency Medicine
208884,Gino,,Mercadante,Ludlow Medical Center
207445,Ian,L.,Goldsmith,Baystate Neurology
2184203,Jessie,Alice,Dorne,Baystate Gynecologic Oncology
3051405,Ibrahim,,Elkhawas,Baystate Pulmonary
2681861,Giorgio,,Giatsidis,Baystate Plastic Surgery
209054,Izabela,O.,Krakowiak Colasacco,Springfield Medical Associates
3143388,Gwyneth,,Kelleher,Baystate Plastic Surgery
1283497,Jessie,Amanda,Marcoulier-Gladu,Springfield Anesthesia Services
359513,Ivan,A.,Enriquez Leal,BMP Hospital Medicine
2023485,Jialin,,Su,Baystate Cardiology
209508,Franklin,R.,Moore,Baystate Pathology
209155,Frank,S.,Mole,Podiatry Services
209530,Irina,,Pieleanu,IPC Hospitalists of New England
207384,Jacqueline,J.,Wu,Baystate General Surgery
244695,Francis,D.,Murray,"Murray Bedford, PC"
1670104,Jaines,Milagros,Andrades,Baystate Trauma and Acute Care Surgery
237303,Fran,A,Lofland,"Pioneer Spine and Sports Physicians, P.C."
1161664,Jake,Anthony,Carvalho,Baystate Emergency Medicine
2730071,Isaac,B.,Sampson,Baystate High Street Health Center Adult Medicine
900925,Folashade,O.,Ajegba,"Radiology and Imaging, Inc."
209266,Ira,S.,Addes,"Ira S. Addes, MD, P.C."
209682,Flora,F.,Sadri-Azarbayejani,CleanSlate Center
1288868,Inna,,Baraban,Baystate Orthopedic Surgery
1597606,Flannery,L.,Merideth,Baystate Behavioral Health - Psychiatry Consultation Services
207424,Ines Ingrid,Tagne,Anton,Baystate Mason Square Neighborhood Health Center
2364540,Frederique,,Pinto,Baystate Trauma and Acute Care Surgery
885783,Ignatius,P.,Oyula,BMP Hospital Medicine
209534,Frederick,T.,Conlin,Springfield Anesthesia Services
1815129,Frederick,Anthony,Gluszek,Springfield Anesthesia Services
207778,Ian,S.,Goodman,Baystate Emergency Medicine
209365,Fred,,Landes,Baystate Wound Care and Hyperbaric Medicine
209535,Ivan,M.,Chavarria Siles,Baystate Behavioral Health - Greenfield Inpatient
207935,Heather,Z.,Sankey,Baystate Medical Center - Administration
209598,Heidi,Freliech,Moskovitz,Baystate Women’s Health OB/GYN
2622356,Fatima,Zahid,Warraich,BMP Hospital Medicine
324110,Faisal,,Ikram,BMP Hospital Medicine
209659,Fahim,A.,Kazi,"Post Acute Care Clinicians, LLC"
237271,Frederico,Silva,Fernandes,"Radiology and Imaging, Inc."
1431302,Hema,,Musunuru,BMP Hospital Medicine
3155330,Francis Carlo,T.,Sabas,Baystate Cardiology
209183,Hemant,,Magoo,Central Mass Nephrology
208394,Derek,B.,Rosner,Springfield Anesthesia Services
208356,Deborah,J.,Hoadley,"Deborah Hoadley, M.D., LLC"
2675455,Henry,Warren,Kort,Baystate Pediatric Cardiology
207833,Deborah,Frances,Waite,Baystate Hematology Oncology
1570892,Heydi,,Flores Podadera,Baystate Neurology
611105,Deborah,Bradeen,Jacques,Baystate Cardiac Surgery
2586057,Hilda,,Gutierrez Pulido,Baystate General Pediatrics
207787,Debbie,R.,Ames,Division of Midwifery & Community Health
785327,Dean,W.,Singer,Bridge Primary
229606,Dean,C.,Hudson,Baystate Behavioral Health - Griswold Center
207786,Hilda,,Rivera-Rivera,Baystate Brightwood Health Center
2626598,David,Y.,Lin,Shriners Hospital for Children
2002088,Hnin,Wut,Yee,BMP Hospital Medicine
207329,David,Wayne,Deaton,Baystate Cardiac Surgery
207456,Ho,Jun,Yun,Baystate Neurosurgery
207572,Holly,S.,Mason,Baystate Surgical Oncology & Breast Specialists
207248,Howard,B.,Natenshon,"Radiology and Imaging, Inc."
208429,David,Russell,Kalman,"Hampshire Gastroenterology Associates, LLC"
208870,Howard,D,Ro,Springfield Medical Associates
360014,Deborah,,Stroetzel,Baystate Audiology
1592480,Howard,,Hoffman,"Radiology and Imaging, Inc."
209381,David,R.,Shield,Eye Physicians of Northampton
207284,David,R.,Kattan,Baystate Women’s Health OB/GYN
208388,David,R.,Fanti,"Chestnut Medical Associates, Inc"
208545,David,Paul,Norton,"Holyoke Pediatric Associates, LLP"
208920,Hyun-Young,,Park,"Baystate Primary Care, Feeding Hills"
208473,David,N.,Gottsegen,"Holyoke Pediatric Associates, LLP"
357817,Hannah,Abigail,Miller,NO PRACTICE GROUP
209126,James,A.,Bell,Fairview Pediatrics
208402,David,M.,Robertson,"Western Massachusetts Allergy, LLC"
208854,David,L.,Maguire,Baystate Home Health
895854,James,A.D.,Otis,Baystate Neurology
209293,David,J.,Pierangelo,"Pioneer Continuing Care Providers, PC"
209520,James,B.,Khoury,Springfield Anesthesia Services
2624702,David,J.,Fish,Baystate Pediatric Hospital Medicine
208015,David,J.,Desilets,Baystate Gastroenterology
209451,Heather,Ann,Burton,Springfield Anesthesia Services
209150,James,C.,Wilson,West Brookfield Family Practice
357731,David,I.,Sorkin,Baystate Newborn Medicine
2483873,Haley,Elizabeth,Burgmyer,BMP Dept. of Surgery (Orthopedics)
2467053,David,,Goudreault,New England Dermatology & Laser Center
207178,Halil,,Mutlu,BMP Hospital Medicine
209003,James,D.,Mueller,Baystate Pathology
208738,David,G.,Wartman,New England Dermatology & Laser Center
209397,Halim,O.,Muslu,Trinity Health of New England Medical Group
208947,David,R.,Lally,"New England Retina Consultants, PC"
1431290,Hamza,,Qazi,BMP Hospital Medicine
208192,David,G.,Lotufo,Longwood Eye
209464,Hanna,D.,Awkal,"Holyoke Pediatric Associates, LLP"
2304903,Deepak,,Acharya,BMP Hospital Medicine
2809766,Danielle,,Dziok,Baystate Sleep Medicine
2165348,Jeffrey,P.,Spear,Baystate Emergency Medicine
207767,Hany,S.,Aziz,Baystate Cardiology
2304890,Hasith,R.,Wickramasinghe,BMP Hospital Medicine
357397,Daniela,,Bataille,"Baystate Primary Care, Westfield"
207929,Jeffrey,H.,Scavron,Baystate Brightwood Health Center
208002,Donna,M.,Jackson-Kohlin,Baystate Midwifery and Women's Health
2290981,Hazel,L.,Marecki,Baystate Vascular Services
208376,Donna,M.,Harmon,Baystate Cardiac Surgery
208524,Donald,R.,Griger,Arthritis Treatment Center
208030,Jacob,,Alexander,Baystate Gastroenterology
207692,Hilary,,Branch,Baystate General Pediatrics
250474,Diana,T.,Robillard,Baystate Women’s Health OB/GYN
209288,Diana,E.,Johanson,"Northampton Area Pediatrics, LLP"
300428,Devrim,,Ersahin,"Radiology and Imaging, Inc."
2012654,Jacob,,Coblyn,"Baystate Primary Care, Palmer"
207691,Hilary,Marie,Hayden-Moryl,"Baystate Medical Practices Quabbin Adult Medicine, Belchertown"
360285,Jacob,J.,Oyer,Baystate Behavioral Health - Adult Outpatient
2072831,Hillary,Elizabeth,Leedy,Baystate Behavioral Health - Child Outpatient
2483867,Desirae,Ann,Smith,Baystate Coumadin Clinic
207250,Holly,Elaine,Perry,Baystate Emergency Medicine
820675,Jacob,M.,Smith,Baystate Infectious Disease
1163471,Jacqueline,M.,Fable,Baystate Pediatric Hospital Medicine
207753,Holly,K.,Sheldon,Baystate General Surgery
208654,Jacqueline,S.,Kates,Baystate Wesson Women's Clinic
2247319,Hossain,M.,Khan,Baystate Behavioral Health - Psychiatry Consultation Services
207879,Howard,A.,Smithline,Baystate Emergency Medicine
208919,Jacquelyn,,Reilly,"Ear, Nose & Throat Surgeons of WNE, LLC"
2594122,Hari,,Mylvaganam,"New England Retina Consultants, PC"
2287371,Derek,Joseph,Charron,"Baystate Primary Care, Palmer"
207364,Jacques,H.,Blanchet,Baystate Noble Emergency Medicine
209279,Hariharan,,Subramanian,HMC Cardiovascular Specialists
209376,Debra,J.,Junnila,"Baystate Ob/Gyn Group, Inc."
2603228,Jacques,,Townsend,Baystate Trauma and Acute Care Surgery
207596,Harry,L.,Hoar,Baystate Pediatric Hospital Medicine
1670098,Jahanara,,Urmy,BMP Hospital Medicine
208295,Heather,A.,Davis,Baystate Surgical Oncology & Breast Specialists
209395,Dennis,S.,O'Brien,Baystate Neurology
209009,Dennis,J.,DiCampli,"Renal and Transplant Associates of New England, PC"
209090,Jaime,A.,Cohen,"Pediatric Associates of Hampden County, Inc."
2148930,Jaime,Lynn,McAtee,"Renal and Transplant Associates of New England, PC"
208840,James,F.,Haines,"Dr. James Haines and Dr. William Belcastro, PTR"
207231,Dennies,,Cuevas Rivera,"Baystate Primary Care, Palmer"
1985758,Denise,M.,Kight,Baystate Midwifery and Women's Health
2809760,Heather,A.,Taylor,Baystate Convenient Care
207175,Jain,Abigail,Lattes,Baystate Midwifery and Women's Health
1194108,Gabriel,E.,Ryb,Baystate Trauma and Acute Care Surgery
208813,Dena,A.,Hoberman,"Pioneer Valley Pediatrics, Inc."
207222,Janivette,,Alsina,Baystate Surgical Oncology
208927,Glen,Michael,Bouchard,Baystate Wing Emergency Medicine
2586018,Delia,,Calderone De Jesus,Baystate General Pediatrics
208365,Glen,S.,Brooks,"Aesthetic Plastic & Reconstructive Surgery, PC"
1312784,Jared,Lee,Ostroff,Baystate Coumadin Clinic
2681858,Deirdre,Marie,Ketchen,"Ear, Nose & Throat Surgeons of WNE, LLC"
231509,Jasmine,,Gill,Springfield Anesthesia Services
208761,Deirdre,C.,Curran,Deirdre Curran MD
362428,Deidre,B.,Hussey,Baystate Family Advocacy Center
207891,Jasmine,John,Paadam,BMP Hospital Medicine
207855,Glenn,F.,Alli,NO PRACTICE GROUP
954184,Deetu,K.,Simh,Central Mass Nephrology
208768,Glenn,P.,Genest,New England Dermatology & Laser Center
359530,Deepika,,Sundararaj,Baystate Behavioral Health - Psychiatry Consultation Services
968765,Gottfried,,Schlaug,Baystate Neurology
207725,Jason,M.,Franconeri,"Baystate Primary Care, Palmer"
209482,Grace,E.,Albert,Baystate Physical Medicine & Rehabilitation
207461,Jay,N.,Kuhn,Baystate General Surgery
207344,Grace,,Makari-Judson,Baystate Hematology Oncology
208540,David,Edward,Wegehoft,Children and Family Dentisry of Lynn
207170,Jean,E.,Pelski,Baystate Newborn Medicine
2591980,David,,Chin,NO PRACTICE GROUP
1720490,Jeanette,,Christian,Baystate Behavioral Health - Greenfield Inpatient
207710,Grace May,D.,Goncero,Baystate Family Medicine – Northampton
2483869,Grace,Wolcott,Brown,Baystate Pediatric Hospital Medicine
207477,Jeannette,M.,Tokarz,Baystate Medical Practices Greenfield Family Medicine
207801,Daniel,Jay,Skiest,Baystate Infectious Disease
2623942,Gladys,,Fernandez,NO PRACTICE GROUP
208338,Greer,A.,Clarke,Redwood Pediatric and Adolescent Medicine
209237,Jeffrey,C.,Wint,The Hand Center of Western Massachusetts
209521,Danielle,Marie,Gould,Baystate Convenient Care
207856,Gregory,E.,Valania,Baystate Cardiology
3013353,Dan,Thanh Linh,Nguyen,Pediatric Dental Associates
207565,James,Kuo Chang,Wang,Baystate Women’s Health OB/GYN
208302,David,Lewis,Tobin,"David L. Tobin, Ph.D."
2698576,Dallas,,Seltzer,Baystate Neurology
207593,James,G.,Gebhardt,Baystate Women’s Health OB/GYN
